,Method 1,Method 2,True_label,mName
0,ALONSO,ALONSO,AROJAZ,1492: conquest of paradise
1,AROJAZ,AROJAZ,BEATRIX,1492: conquest of paradise
2,BEATRIX,BARTOLOME,BOBADILLA,1492: conquest of paradise
3,BOBADILLA,BEATRIX,SANTANGEL,1492: conquest of paradise
4,COLUMBUS,BOBADILLA,COLUMBUS,1492: conquest of paradise
5,FERNANDO,COLUMBUS,DIEGO,1492: conquest of paradise
6,GIACOMO,DIEGO,FERNANDO,1492: conquest of paradise
7,GUEVARA,FERNANDO,ISABEL,1492: conquest of paradise
8,ISABEL,GIACOMO,SANCHEZ,1492: conquest of paradise
9,MARCHENA,ISABEL,MARCHENA,1492: conquest of paradise
10,MENDEZ,MARCHENA,MENDEZ,1492: conquest of paradise
11,MOXICA,MENDEZ,MOXICA,1492: conquest of paradise
12,PINZON,MOXICA,PINZON,1492: conquest of paradise
13,SANCHEZ,PINZON,SAILOR,1492: conquest of paradise
14,SANTANGEL,SAILOR,SANCHEZ,1492: conquest of paradise
15,UTAPAN,SANCHEZ,UTAPAN,1492: conquest of paradise
16,None,SANTANGEL,None,1492: conquest of paradise
17,None,UTAPAN,None,1492: conquest of paradise
