,Method 1,Method 2,True_label,mName
0,CAMELLO,CUTLER,CUTLER,15 minutes
1,CUTLER,DAPHNE,DAPHNE,15 minutes
2,DAPHNE,DUFFY,DUFFY,15 minutes
3,EDDIE,EDDIE,EDDIE,15 minutes
4,EMIL,EMIL,EMIL,15 minutes
5,GARCIA,GARCIA,HAWKINS,15 minutes
6,HAWKINS,HAWKINS,JORDY,15 minutes
7,JORDY,HONEY,KORFIN,15 minutes
8,KORFIN,JORDY,LEON,15 minutes
9,LEON,KORFIN,MAGGIE,15 minutes
10,MAGGIE,LEON,HONEY,15 minutes
11,MIKE,MAGGIE,MAX,15 minutes
12,MURPHY,MAX,MILOS,15 minutes
13,NICOLETTE,MILOS,MUGGER,15 minutes
14,PAULIE,MUGGER,NICOLETTE,15 minutes
15,STERN,NICOLETTE,ROBERT HAWKINS,15 minutes
16,TOMMY,OLEG,ROSE,15 minutes
17,UNIQUE,ROSE,STEPHEN GELLER,15 minutes
18,None,TOMMY,TOMMY,15 minutes
19,None,None,VENDOR,15 minutes
